ell,tau,EE,TE,TT
0,0.02,0.0,0.0,0.0
1,0.02,0.0,0.0,0.0
2,0.02,1.8790377466500488e-15,4.797319975444418e-13,2.9228632597289277e-10
3,0.02,5.011922195520738e-16,1.5120001176047207e-13,1.2634213543865057e-10
4,0.02,1.4503173232286668e-16,5.844262728986621e-14,7.090337247475573e-11
5,0.02,6.235393869108222e-17,2.4574999267481467e-14,4.568483435759545e-11
6,0.02,4.3037595528760535e-17,1.1230889968944711e-14,3.196444573218185e-11
7,0.02,3.721023067867517e-17,5.94370836237046e-15,2.3674758025013248e-11
8,0.02,3.505113641681247e-17,3.816453725505614e-15,1.8281599490101734e-11
9,0.02,3.431483498782714e-17,2.903292493906642e-15,1.4570952164543725e-11
0,0.039999999999999994,0.0,0.0,0.0
1,0.039999999999999994,0.0,0.0,0.0
2,0.039999999999999994,4.6448680831581136e-15,5.566936164650679e-13,2.927382877576825e-10
3,0.039999999999999994,2.1976311364048492e-15,2.0716385852408344e-13,1.256291455316431e-10
4,0.039999999999999994,9.16194130521901e-16,9.691362931723132e-14,6.998215389772372e-11
5,0.039999999999999994,3.4733715413150083e-16,4.909312965396731e-14,4.4788635189294126e-11
6,0.039999999999999994,1.3914951458134022e-16,2.5750850559517434e-14,3.117489317696002e-11
7,0.039999999999999994,7.400288576382719e-17,1.401703988732174e-14,2.3004110310377474e-11
8,0.039999999999999994,5.325950912427473e-17,8.104047522327102e-15,1.7718940631988193e-11
9,0.039999999999999994,4.437573628112379e-17,5.144204644286637e-15,1.4099124890487821e-11
0,0.06,0.0,0.0,0.0
1,0.06,0.0,0.0,0.0
2,0.06,7.428276103278551e-15,5.764966278121008e-13,2.932630035562584e-10
3,0.06,4.582474290144278e-15,2.2909113713152667e-13,1.2518431821048836e-10
4,0.06,2.4899701794870172e-15,1.1593842915822468e-13,6.936496333637335e-11
5,0.06,1.1997227006657639e-15,6.378811289065015e-14,4.4136379486002175e-11
