ell,tau,EE,TE,TT
2,0.0261,2.6961346064723275e-15,5.184006420172713e-13,2.9334136014827606e-10
3,0.0261,9.000036358540632e-16,1.7507121081273742e-13,1.2608123836540657e-10
4,0.0261,2.8465798100936897e-16,7.35627355352596e-14,7.058125799091636e-11
5,0.0261,1.0334049311316105e-16,3.338027664320035e-14,4.5379169161910635e-11
6,0.0261,5.651276633976294e-17,1.593228061802629e-14,3.170362457158822e-11
7,0.0261,4.3147845185798014e-17,8.281459293128654e-15,2.3459036401964934e-11
8,0.0261,3.79722991541335e-17,4.943772447986235e-15,1.8103670249845348e-11
9,0.0261,3.5698853420700063e-17,3.4656164746913577e-15,1.4422974199073327e-11
10,0.0261,3.477359971642063e-17,2.7622183701834493e-15,1.1779153185162975e-11
11,0.0261,3.4538003171546545e-17,2.3813734473349932e-15,9.817514542034254e-12
12,0.0261,3.46649636997061e-17,2.1443872543842284e-15,8.318332012536816e-12
13,0.0261,3.500354801585238e-17,1.9818503460926268e-15,7.146926164615824e-12
14,0.0261,3.5457269768962664e-17,1.8622441427063768e-15,6.213457152092228e-12
15,0.0261,3.5987579177781044e-17,1.7656519824527477e-15,5.4577915466654665e-12
16,0.0261,3.656346480739523e-17,1.676776149309245e-15,4.8362178142536295e-12
17,0.0261,3.716951630086679e-17,1.5870824464830752e-15,4.319523863614642e-12
18,0.0261,3.7801385426116754e-17,1.4970001475074644e-15,3.884078161383579e-12
19,0.0261,3.845541002094648e-17,1.4070144860450708e-15,3.514264052931447e-12
20,0.0261,3.912847897303637e-17,1.3173387411069648e-15,3.197277573021578e-12
21,0.0261,3.982080829999153e-17,1.2291592777543076e-15,2.9236806821909435e-12
22,0.0261,4.0532813928622337e-17,1.1434335663725232e-15,2.6854535710830163e-12
23,0.0261,4.12623842926357e-17,1.0592304125940018e-15,2.476883424993637e-12
24,0.0261,4.2007267803697566e-17,9.754735547149664e-16,2.2931161453470747e-12
25,0.0261,4.2767180278413646e-17,8.923951264400093e-16,2.130425503428958e-12
26,0.0261,4.354198238294852e-17,8.104660154823161e-16,1.9855454768970256e-12
27,0.0261,4.4330146776762494e-17,7.298037301810762e-16,1.855922999036103e-12
28,0.0261,4.51298932317491e-17,6.50460061655784e-16,1.7393407019648162e-12
29,0.0261,4.593981797623888e-17,5.725773115211575e-16,1.6342110575099105e-12
30,0.0261,4.675861135267169e-17,4.963204090157174e-16,1.5391039974251613e-12
