ell,tau,EE,TE,TT
2,0.0206,1.9618125479490253e-15,4.867361243853394e-13,2.9323974732603365e-10
3,0.0206,5.348112045056401e-16,1.5397189676242835e-13,1.26312676042479e-10
4,0.0206,1.5550072066652241e-16,6.010383945742264e-14,7.087619017651768e-11
5,0.0206,6.525594227221485e-17,2.5479662919936228e-14,4.565390908590496e-11
6,0.0206,4.403229566857619e-17,1.1683624146371716e-14,3.193798763822852e-11
7,0.0206,3.765101746647098e-17,6.15711940673182e-15,2.3653144447596195e-11
8,0.0206,3.525075357211618e-17,3.916588428902291e-15,1.8263871158950644e-11
9,0.0206,3.4398646248195104e-17,2.9535946662758727e-15,1.4556231905936596e-11
10,0.0206,3.4242391472089074e-17,2.490418914326223e-15,1.189117870402546e-11
11,0.0206,3.4428282106845493e-17,2.238898620658133e-15,9.912574415476838e-12
12,0.0206,3.479234505922789e-17,2.084147262297937e-15,8.399827675196954e-12
13,0.0206,3.526272657507399e-17,1.9716581634381947e-15,7.217474062130849e-12
14,0.0206,3.57868324880337e-17,1.875018510833921e-15,6.275106679514567e-12
15,0.0206,3.635735654503636e-17,1.782340733338877e-15,5.51226414152437e-12
16,0.0206,3.695120730755951e-17,1.6891069824723702e-15,4.884765650164565e-12
17,0.0206,3.756982645833244e-17,1.5957019082668165e-15,4.363123478283402e-12
18,0.0206,3.821086506667684e-17,1.5052535099012584e-15,3.923463651802699e-12
19,0.0206,3.8872424530739957e-17,1.4166264984686428e-15,3.5500386895680502e-12
20,0.0206,3.955377876958354e-17,1.3279832705762648e-15,3.229948090701559e-12
21,0.0206,4.0254878966025045e-17,1.2397620386784232e-15,2.9536655613831003e-12
22,0.0206,4.0975431157461376e-17,1.1527565231424734e-15,2.7130911683759243e-12
23,0.0206,4.1713483535851744e-17,1.066906660140995e-15,2.502456213719005e-12
24,0.0206,4.2467138385099126e-17,9.820705078610888e-16,2.3168594756473165e-12
25,0.0206,4.3236372202319215e-17,8.986323967427232e-16,2.1525384019041107e-12
26,0.0206,4.402112796675513e-17,8.169729000289889e-16,2.006196586061391e-12
27,0.0206,4.481934037294691e-17,7.369312899226089e-16,1.8752635354978976e-12
28,0.0206,4.5628695010700136e-17,6.582388868821009e-16,1.7575069133719664e-12
