tau,ell,EE,TE,TT
0.0261,2,1.0,5.184006420172713e-13,2.9334136014827606e-10
0.0314,2,1.2734413307578432,5.38782444077006e-13,2.934822149347955e-10
0.0366,2,1.5447047847951427,5.508670998237596e-13,2.92971482665901e-10
0.0419,2,1.8242806405579957,5.619702922181542e-13,2.9345853613049407e-10
0.0472,2,2.0992452351159874,5.663158361872801e-13,2.9270976338990287e-10
0.0524,2,2.3672532196098035,5.70002888064504e-13,2.924957868570292e-10
0.0561,2,2.5571526373642994,5.735167058206061e-13,2.928655218520893e-10
0.0629,2,2.902081192542162,5.796709541651219e-13,2.940193340227796e-10
0.0682,2,3.160222550636341,5.762016898308028e-13,2.9269712031955427e-10
0.0735,2,3.418149934205141,5.777294677513405e-13,2.9309431275505426e-10
0.0787,2,3.667050087925357,5.792252098856415e-13,2.936719538220557e-10
0.084,2,3.9129536746387426,5.7525203493204e-13,2.9280639148610146e-10
0.0893,2,4.1580649210340175,5.76990732355901e-13,2.936499886546951e-10
0.0945,2,4.391249420876841,5.728500775084392e-13,2.929336573465804e-10
0.0998,2,4.628587817286837,5.740026614144185e-13,2.937510588363834e-10
0.105,2,4.853223595167087,5.698239417821796e-13,2.9313748070043036e-10
0.1103,2,5.082420818377557,5.710575820651187e-13,2.9408274384025805e-10
0.1156,2,5.305239689671879,5.679018784301384e-13,2.938144529178724e-10
0.1208,2,5.518643899644273,5.634376746253822e-13,2.932400853836471e-10
0.1261,2,5.737112078978539,5.646443298606476e-13,2.9423405126999487e-10
0.0261,3,1.0,1.7507121081273744e-13,1.2608123836540657e-10
0.0314,3,1.4894468448459146,1.9000550764038312e-13,1.258948800765573e-10
0.0366,3,2.0456242965221683,2.01196421270576e-13,1.2572493850442702e-10
0.0419,3,2.6725641659935606,2.101277611677568e-13,1.2558372606392668e-10
0.0472,3,3.3452327894967184,2.1719643815047306e-13,1.2544746756650295e-10
0.0524,3,4.038013894731951,2.2276582327343178e-13,1.2533813948097978e-10
0.0561,3,4.545850290537951,2.2607936127036378e-13,1.2525598763308152e-10
0.0629,3,5.503409426666952,2.3104343937076706e-13,1.2513798113555348e-10
0.0682,3,6.264042172278814,2.341092879130373e-13,1.2505368680564964e-10
0.0735,3,7.032630205757625,2.366085502632304e-13,1.2497453992293346e-10
0.0787,3,7.790871627954042,2.386217464642459e-13,1.2491547485937107e-10
0.084,3,8.567132901317118,2.4027924571456625e-13,1.2485680254212034e-10
0.0893,3,9.340670555382964,2.416370087752034e-13,1.2480376308907702e-10
0.0945,3,10.10119519432308,2.427009790471597e-13,1.247607097307203e-10
0.0998,3,10.872634190685547,2.435824097018361e-13,1.247206510166433e-10
0.105,3,11.623947805335327,2.442493648261292e-13,1.2468648217044282e-10
0.1103,3,12.385256978864861,2.4479244492870173e-13,1.2466292877087846e-10
0.1156,3,13.14298423659222,2.4518278614741083e-13,1.2463299501659584e-10
0.1208,3,13.878297004430056,2.4545668064624873e-13,1.246152645907038e-10
0.1261,3,14.622772027493392,2.456616410697034e-13,1.2460254709894429e-10
0.0261,4,1.0,7.35627355352596e-14,7.058125799091636e-11
0.0314,4,1.6614487269172435,8.395829648521209e-14,7.033022921310163e-11
0.0366,4,2.5336352649905844,9.227220596678166e-14,7.011514770260716e-11
0.0419,4,3.638815180703476,9.928904349946415e-14,6.991991979096994e-11
0.0472,4,4.940738765354344,1.051557536226603e-13,6.973273199647522e-11
0.0524,4,6.3851610464028274,1.1003164009465461e-13,6.95720579945971e-11
0.0561,4,7.50095263981732,1.1306273336143733e-13,6.946372153653343e-11
0.0629,4,9.716174345163097,1.1786220768022237e-13,6.92848261615001e-11
0.0682,4,11.56560160642304,1.2101555723954536e-13,6.915623057235243e-11
0.0735,4,13.50418191079288,1.2374894789559436e-13,6.903915475829011e-11
0.0787,4,15.477487296990814,1.26098349407943e-13,6.894105680556496e-11
0.084,4,17.55290587502119,1.2817407843056948e-13,6.883450303168852e-11
0.0893,4,19.672643780605203,1.3001334581570885e-13,6.875285135189545e-11
0.0945,4,21.80021283546632,1.315760184111642e-13,6.866037297919028e-11
0.0998,4,24.000938780670776,1.3301283926079492e-13,6.859273151262696e-11
0.105,4,26.179745016113134,1.3422421279331185e-13,6.851265117088979e-11
0.1103,4,28.422116578690236,1.353534309081115e-13,6.84496557520393e-11
0.1156,4,30.68661397341664,1.3633980230362764e-13,6.839568457163912e-11
0.1208,4,32.91069289197858,1.3718165461739336e-13,6.833287598088806e-11
0.1261,4,35.18946063987048,1.379834726706606e-13,6.828489356055692e-11
0.0261,5,1.0,3.338027664320035e-14,4.5379169161910635e-11
0.0314,5,1.6143907995519524,4.0084798818935096e-14,4.513839126124886e-11
0.0366,5,2.547249471928311,4.5779756430365757e-14,4.4920768808952003e-11
0.0419,5,3.8904483685674816,5.081971879589407e-14,4.472001780488739e-11
0.0472,5,5.653718275785671,5.521751392474994e-14,4.453134093786865e-11
0.0524,5,7.791695020603682,5.901149701757884e-14,4.4364016816901466e-11
0.0561,5,9.5504644720823,6.144065426931398e-14,4.4248670685100565e-11
0.0629,5,13.272127518861849,6.541208349388681e-14,4.405674174144784e-11
0.0682,5,16.573808468600035,6.812013972091273e-14,4.391637791881637e-11
0.0735,5,20.193877127253074,7.05365670137308e-14,4.3786267347492496e-11
0.0787,5,24.023698380383145,7.266569161820346e-14,4.366929768255156e-11
0.084,5,28.190535588282902,7.461892486520485e-14,4.3555438832194645e-11
0.0893,5,32.57312691499256,7.636919748762786e-14,4.3450185844420995e-11
0.0945,5,37.091384687678534,7.79290167487895e-14,4.3351897722680204e-11
0.0998,5,41.87315672103909,7.93638389262063e-14,4.326012457801365e-11
0.105,5,46.71069898134181,8.064140346399987e-14,4.3173949152575496e-11
0.1103,5,51.78430045607418,8.182157180117708e-14,4.309492483026172e-11
0.1156,5,56.99535007317375,8.289666818016944e-14,4.301774782575545e-11
0.1208,5,62.19855568734317,8.386211054125037e-14,4.29472444133229e-11
0.1261,5,67.60583381620282,8.47582387381644e-14,4.288187721757222e-11
0.0261,6,1.0,1.593228061802629e-14,3.1703624571588216e-11
0.0314,6,1.3576563015922416,1.9929724551669044e-14,3.1490937460057575e-11
0.0366,6,1.9278198489739753,2.355711678441889e-14,3.129547035301113e-11
0.0419,6,2.8277273825730997,2.69179679932567e-14,3.111004463819479e-11
0.0472,6,4.1360936013316705,2.996549414823982e-14,3.093605446546828e-11
0.0524,6,5.879547481559469,3.2684633764251296e-14,3.0776684963359927e-11
0.0561,6,7.419485930445499,3.4474640447172583e-14,3.066828986680176e-11
0.0629,6,10.929405466303617,3.7483054387289464e-14,3.0482256548391877e-11
0.0682,6,14.275695497299122,3.960049998486537e-14,3.034646498775008e-11
0.0735,6,18.14800104747976,4.154004786310999e-14,3.0218315235386835e-11
0.0787,6,22.43867868227818,4.3286198407714417e-14,3.010049989128224e-11
0.084,6,27.3006503496902,4.492404896648355e-14,2.9986745402689765e-11
0.0893,6,32.60178405519211,4.6424197140933965e-14,2.9879457215152716e-11
0.0945,6,38.24297908822395,4.7784976694394225e-14,2.9779897030764816e-11
0.0998,6,44.38405148772444,4.906123960950615e-14,2.968390398308761e-11
0.105,6,50.75682120004388,5.0213998291553696e-14,2.9595082614351834e-11
