Complexity,Loss,Equation
1,75.05031,"3.373099"
3,65.34068,"(40.65517 / ell)"
5,56.276733,"((tau / ell) * 593.7804)"
6,37.947445,"(exp(33.204235 - ell) ^ tau)"
7,30.647745,"(ell ^ ((22.062122 - ell) * tau))"
8,4.443288,"(exp(tau) ^ ((11.80554 - ell) * ell))"
10,3.7070582,"((exp((11.804678 - ell) * ell) + 1.3465225) ^ tau)"
11,3.1900446,"(((ell * 0.085843556) ^ tau) ^ ((1.7016946 - ell) / 0.08030285))"
13,2.2637799,"((ell * 0.0846937) ^ ((((tau / 0.07324284) - ell) * tau) / 0.0846937))"
14,1.8169937,"(((ell * 0.0874528) ^ tau) ^ ((exp(tau / 0.19349945) - ell) / 0.07552585))"
15,1.5400102,"((((ell * 0.0846937) ^ (((tau / 0.07353997) - ell) / 0.0846937)) + 1.3383898) ^ tau)"
16,1.0627297,"((((ell * 0.08745278) ^ ((exp(tau / 0.19349945) - ell) / 0.07552585)) + 1.4508088) ^ tau)"
17,1.0507674,"((((ell * 0.087502785) ^ ((((1.4975783 / 0.007848838) ^ tau) - ell) / 0.074943714)) + 1.4834788) ^ tau)"
18,1.0413398,"((((ell * 0.086844355) ^ ((((log(ell) / 0.007601098) ^ tau) - ell) / 0.07520472)) + 1.5490378) ^ tau)"
19,0.97257495,"((((ell * 0.08745278) ^ ((exp(tau / 0.19349945) - ell) / 0.07552585)) + exp(33.204235 / ell)) ^ tau)"
20,0.95724165,"((((ell * 0.087502785) ^ ((((1.4975783 / 0.007848838) ^ tau) - ell) / 0.074943714)) + exp(33.204235 / ell)) ^ tau)"
21,0.9520345,"(((((ell * 0.08745278) ^ ((exp(tau / 0.19349945) - ell) / 0.07552585)) + exp(33.204235 / ell)) ^ tau) + -0.13937916)"
22,0.9304598,"(((((ell * 0.087502785) ^ ((((1.4975783 / 0.007848838) ^ tau) - ell) / 0.074943714)) + exp(33.204235 / ell)) ^ tau) - 0.16360223)"
23,0.90870744,"((((ell * 0.08751675) ^ ((((1.4975783 / 0.007848838) ^ tau) - ell) / 0.074943714)) + exp(exp(33.204235 - ell) ^ 0.08751675)) ^ tau)"
25,0.8605123,"(((((ell * 0.08745278) ^ ((((1.4975783 / 0.007848838) ^ tau) - ell) / 0.074943714)) + exp(exp(33.204235 - ell) ^ 0.08751675)) ^ tau) + -0.22475584)"
27,0.83824193,"(((((ell * 0.08745278) ^ (((((tau / 0.074943714) / 0.007848838) ^ tau) - ell) / 0.074943714)) + exp(exp(33.204235 - ell) ^ 0.08745278)) ^ tau) + -0.3111871)"
29,0.8066388,"(((((ell * 0.08745278) ^ (((((tau / 0.074943714) / 0.007848838) ^ tau) - ell) / 0.074943714)) + exp(exp(33.204235 - (ell * 0.7611832)) ^ 0.087502785)) ^ tau) + -0.3111871)"
