ell,EE/EE_ref
2,5.8568428275245905
3,16.286165452956652
4,37.72895305190666
5,54.71527046137755
6,44.9852894089244
7,26.873299888599547
8,13.871614246834762
9,6.985305016657354
10,3.96195557530666
11,2.742023023602004
12,2.172342778153136
13,1.7967009363786473
14,1.5077768936233678
15,1.3040129180225155
16,1.1823506226071006
17,1.1177944708564609
18,1.0772444498735492
19,1.042117520488296
20,1.0022517588555848
21,0.9623420189634073
22,0.9293175620738295
23,0.9059661407109871
24,0.8929602400117701
25,0.8869767882232892
26,0.8843500355286441
27,0.8832551352487494
28,0.8825860612794286
29,0.8821142729385216
30,0.8818235966165127
31,0.881633522678914
32,0.8812125383439583
33,0.8801886160934302
34,0.878363088267508
35,0.8761337334254631
36,0.8740158216421461
37,0.8723962801300518
38,0.8712632371775284
39,0.8705133612284972
40,0.8700496209684191
41,0.8697855924990985
42,0.8696586514214557
43,0.8696144713923394
44,0.8696018873009539
45,0.8695806905893149
46,0.8695446408945706
47,0.8694956551498381
48,0.8694355361904871
49,0.8693659798432712
50,0.8692882403597019
