tau,ell,EE/EE_ref
0.0206,5,1.0
0.0243,5,1.3527447754177464
0.0281,5,1.8949666184638998
0.0318,5,2.6503311696212735
0.0355,5,3.6733011225699586
0.0393,5,5.036477673181173
0.043,5,6.685805721693477
0.0468,5,8.718449045214273
0.0505,5,11.026654364231984
0.0561,5,15.124288664588645
0.058,5,16.676129260610413
0.0617,5,19.906504421650066
0.0654,5,23.419290058534298
0.0692,5,27.28715321650302
0.0729,5,31.307372007913767
0.0767,5,35.66217295821459
0.0804,5,40.11442385808424
0.0841,5,44.76489321460096
0.0879,5,49.728703666508785
0.0916,5,54.71527046137755
