k (h/Mpc),x,omega_b,omega_m,T(k),log10(T(k))
1.0050371497379905e-05,9.254485725027536e-05,0.0214,0.13,1.0,0.0
1.265266807602336e-05,0.00011650707252323536,0.0214,0.13,0.999998802763004,-5.199537321414459e-07
1.592876536790262e-05,0.00014667371425324696,0.0214,0.13,0.9999968630586439,-1.3623584578369361e-06
2.0053127500159477e-05,0.00018465126611564897,0.0214,0.13,0.999993948922756,-2.6279574076565147e-06
2.524539179589921e-05,0.00023246217123295773,0.0214,0.13,0.999989188527173,-4.6953883720903536e-06
3.1782065262557506e-05,0.0002926525346460175,0.0214,0.13,0.9999816401756217,-7.973643613761426e-06
4.0011249598334304e-05,0.0003684277126918444,0.0214,0.13,0.9999696736400849,-1.317077047909802e-05
5.0371178876982226e-05,0.0004638230099169634,0.0214,0.13,0.9999507597778511,-2.138528327933534e-05
6.341355711026252e-05,0.0005839185737593234,0.0214,0.13,0.9999208442721501,-3.437825645214897e-05
7.983293849837017e-05,0.0007351099309242189,0.0214,0.13,0.9998735777467463,-5.490795784484958e-05
0.0001005037149737991,0.0009254485725027541,0.0214,0.13,0.9997990495526604,-8.728044023106305e-05
0.00012652668076023365,0.001165070725232354,0.0214,0.13,0.9996818276709999,-0.0001382024740466548
0.00015928765367902628,0.0014667371425324703,0.0214,0.13,0.9994982579999625,-0.00021795846598735529
0.00020053127500159487,0.0018465126611564905,0.0214,0.13,0.9992127185222724,-0.0003420466626567418
0.0002524539179589922,0.0023246217123295784,0.0214,0.13,0.9987730913784649,-0.0005331667845171296
0.0003178206526255752,0.0029265253464601767,0.0214,0.13,0.9981063010204649,-0.0008232027125064046
0.0004001124959833432,0.0036842771269184455,0.0214,0.13,0.997116051948506,-0.001254292252309248
0.0005037117887698225,0.004638230099169636,0.0214,0.13,0.9956842707063448,-0.0018783535721411822
0.0006341355711026253,0.005839185737593235,0.0214,0.13,0.9936713665224537,-0.002757224560959542
0.0007983293849837021,0.0073510993092421924,0.0214,0.13,0.9908938963492202,-0.00397284672265751
0.0010050371497379914,0.009254485725027545,0.0214,0.13,0.9870629599409518,-0.005655144916103466
0.0012652668076023371,0.011650707252323545,0.0214,0.13,0.9817597270038616,-0.007994787166609126
0.0015928765367902637,0.014667371425324711,0.0214,0.13,0.9744987891545401,-0.011218696170606408
