tau,ell,EE/EE_ref
0.0261,6,1.0
0.0314,6,1.3576563015922416
0.0366,6,1.9278198489739753
0.0419,6,2.8277273825730997
0.0472,6,4.1360936013316705
0.0524,6,5.879547481559469
0.0561,6,7.419485930445499
0.0629,6,10.929405466303617
0.0682,6,14.275695497299122
0.0735,6,18.14800104747976
0.0787,6,22.43867868227818
0.084,6,27.3006503496902
0.0893,6,32.60178405519211
0.0945,6,38.24297908822395
0.0998,6,44.38405148772444
0.105,6,50.75682120004388
0.1103,6,57.59450861298539
0.1156,6,64.76710194716293
0.1208,6,72.06580871739399
0.1261,6,79.78307429994993
