k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
1.006679028200371e-05,9.215128139363714e-05,0.0214,0.13,0.000642,1.0,0.0
1.2673338101217042e-05,0.00011601158987584484,0.0214,0.13,0.000642,0.9999990753260898,-4.015809624336172e-07
1.5954787387881374e-05,0.000146049938557344,0.0214,0.13,0.000642,0.9999973554792592,-1.148502283643252e-06
2.0085887282376947e-05,0.00018386597904081713,0.0214,0.13,0.000642,0.9999948699909612,-2.2279403323420244e-06
2.5286633918217626e-05,0.00023147355337889845,0.0214,0.13,0.000642,0.9999907640869538,-4.011124594550411e-06
3.183398601838048e-05,0.0002914079385069889,0.0214,0.13,0.000642,0.9999842873684706,-6.82396278076201e-06
4.007661395723941e-05,0.00036686085898500037,0.0214,0.13,0.000642,0.9999740200610251,-1.1283090704624013e-05
5.045346772943349e-05,0.00046185045796885346,0.0214,0.13,0.000642,0.9999577593202448,-1.834528159084603e-05
6.351715263772079e-05,0.0005814352779857636,0.0214,0.13,0.000642,0.999932060128099,-2.9506913827146693e-05
7.996335754043563e-05,0.0007319836467698836,0.0214,0.13,0.000642,0.9998914512713761,-4.714467265239298e-05
0.00010066790282003716,0.0009215128139363721,0.0214,0.13,0.000642,0.9998273929037065,-7.496877971545476e-05
0.0001267333810121705,0.0011601158987584491,0.0214,0.13,0.000642,0.999726623579838,-0.00011874210214384203
0.00015954787387881386,0.001460499385573441,0.0214,0.13,0.000642,0.999568772375648,-0.0001873201694195665
0.0002008588728237696,0.0018386597904081726,0.0214,0.13,0.000642,0.999323135640887,-0.00029405798607545975
0.0002528663391821764,0.0023147355337889857,0.0214,0.13,0.000642,0.9989446548224566,-0.00045857260588825024
0.00031833986018380505,0.002914079385069891,0.0214,0.13,0.000642,0.9983699726965911,-0.00070848944879368
0.00040076613957239443,0.0036686085898500064,0.0214,0.13,0.000642,0.9975150034601933,-0.0010805634397417713
0.0005045346772943354,0.004618504579688538,0.0214,0.13,0.000642,0.9962755941911805,-0.001620508483439322
0.0006351715263772084,0.005814352779857641,0.0214,0.13,0.000642,0.9945267935077323,-0.0023835120711581037
0.0007996335754043569,0.007319836467698841,0.0214,0.13,0.000642,0.9921029281144569,-0.003443268578433527
