Complexity,Loss,Equation
1,0.13605376,"1.0742807"
3,0.13527225,"(2.6984377 ^ tau)"
5,0.11745749,"exp(0.89802754 ^ ell)"
7,0.09795002,"(0.79152215 + ((104.11732 * tau) / ell))"
9,0.08159134,"cosh(((-0.935616 ^ ell) * tau) / -0.031988133)"
11,0.038179107,"cosh(((ell / -0.04912022) * (-0.80864084 ^ ell)) * tau)"
13,0.025454037,"cosh(((0.7749874 ^ ell) / 0.027853226) * ((-0.9903455 + ell) * tau))"
15,0.018548999,"cosh(sin((0.767313 ^ ell) / tan(0.026305085 / tau)) * ell)"
17,0.011582431,"cosh((tanh((0.7626996 ^ ell) / tan(-0.031771436 / tau)) * ell) / 0.7627187)"
19,0.010060835,"cosh(sinh(tanh((0.7547432 ^ ell) / tan(tan(0.02223132 / tau)))) * ell)"
