Complexity,Loss,Equation
1,0.16198112,"0.34135765"
3,0.01733088,"(1.8529821e-5 ^ k)"
5,0.00082762796,"((om_m ^ 11.821585) ^ k)"
7,0.0004912253,"(((om_m * k) ^ 4.7461653) ^ k)"
9,3.9664195e-5,"(om_m / (om_m + ((k ^ 1.4348974) / 0.03611601)))"
11,1.627192e-5,"(om_m / (om_m + (((k / 0.32075405) / 0.32075405) ^ 1.3766564)))"
15,1.09510975e-5,"(om_m / (om_m + ((((k / 0.290658) / om_m) ^ 1.3766564) * (om_m + om_m))))"
17,1.025432e-5,"(om_m / (om_m + (((((k / 0.290658) / 0.24505968) ^ 1.3766564) * 1.0234065) * (om_b ^ om_m))))"
19,1.0126934e-5,"(om_m / (om_m + ((((k / 0.290658) / 0.24505968) ^ 1.3766564) * ((om_b ^ om_m) - (om_b * -0.6664276)))))"
21,9.968064e-6,"(om_m / (om_m + ((((k / 0.290658) / 0.24505968) ^ 1.3766564) * ((om_b ^ om_m) - (om_b * (-0.65404505 - k))))))"
23,9.967849e-6,"(om_m / (om_m + ((((k / 0.290658) / 0.24505968) ^ 1.3766564) * (((om_b * 0.9936542) ^ om_m) - (om_b * (-0.65404505 - k))))))"
25,9.574606e-6,"(om_m / (om_m + ((((k / 0.290658) / 0.24505968) ^ 1.3745507) * ((om_b ^ om_m) - (om_b * (-0.65404505 - (k / (om_m / k))))))))"
