Complexity,Loss,Equation
1,0.10351934,"1.054899"
2,0.1031857,"exp(tau)"
3,0.103180446,"(1.0009903 + tau)"
4,0.08712131,"exp(0.875687 ^ ell)"
5,0.0870834,"(ell ^ (0.8172556 ^ ell))"
6,0.076255135,"(sinh(51.242683 / ell) ^ tau)"
7,0.06733165,"((tau / 0.010103403) ^ (0.87537265 ^ ell))"
8,0.022680327,"cosh((56.781242 ^ sin(log(ell))) * tau)"
9,0.019557856,"cosh((4.3992667 ^ exp(sin(log(ell)))) * tau)"
10,0.01951259,"cosh((4.395975 ^ exp(sin(log(ell)))) * tan(tau))"
11,0.0151191065,"cosh((54.3347 ^ sin(sinh(log(ell) ^ 0.52442724))) * tau)"
12,0.013230915,"cosh((56.454754 ^ sin(log(ell - -0.66558856) - tau)) * tau)"
13,0.011252553,"cosh((4.3957834 ^ exp(sin(log(ell - -0.71906507) - tau))) * tau)"
14,0.0076390044,"cosh((54.3347 ^ sin(log(ell + 1.396993) - (tau / 0.36075327))) * tau)"
15,0.0076203253,"cosh((54.3347 ^ sin(log(ell + 1.4035265) - (tau / 0.35967115))) * tanh(tau))"
16,0.0071566286,"cosh((54.937984 ^ sin((log(ell + 1.4757129) ^ 1.0223567) - (tau / 0.29905215))) * tau)"
17,0.0068428023,"cosh(((54.807434 ^ sin(log(ell + 1.4419495) - (tau / 0.3586639))) + cos(ell)) * tau)"
18,0.0066788546,"cosh(((54.807434 ^ sin(log(ell + 1.4538207) - (tau / 0.3586639))) + tan(cos(ell))) * tau)"
19,0.0063837008,"cosh(((54.885296 + (cos(ell) / 0.31710535)) ^ sin(log(ell + 1.5045915) - (tau / 0.35781628))) * tau)"
20,0.006355536,"cosh(((54.937984 + (cos(ell) / 0.31953743)) ^ sin(log(ell + 1.5036122) - (tau / 0.35781628))) * tanh(tau))"
