Complexity,Loss,Equation
1,0.16137303,"0.34541348"
3,0.00088891335,"(0.07114813 ^ x)"
5,0.0005483835,"((0.051721245 ^ x) - -0.024378616)"
7,0.00034950837,"((0.0529606 * (0.78868604 + x)) ^ x)"
9,0.00021312601,"((((0.48355535 + x) * 0.0529606) ^ x) - -0.020059288)"
11,7.3754476e-5,"(0.6413791 / ((0.6413791 + ((x ^ 1.5169746) / 0.25104088)) + x))"
13,5.44777e-5,"(0.74493635 / (0.74493635 + ((((x + x) + x) ^ 1.498311) + x)))"
15,4.9491548e-5,"(0.6636995 / (0.6636995 + ((((x / 0.45655409) + x) ^ 1.4341172) - (x * -0.31158033))))"
17,4.7691552e-5,"(0.6636995 / ((0.6636995 + ((((x + x) + x) ^ 1.4341172) / 0.9666869)) - (x * -0.48491856)))"
21,4.6245514e-5,"(0.6636995 / (0.6636995 + ((((x / 0.45655409) + x) ^ 1.4341172) - ((((0.6636995 ^ -0.517477) - x) * -0.31158033) * x))))"
