Complexity,Loss,Equation
1,0.16198114,"0.3413574"
3,0.0008130104,"(0.06509641 ^ x)"
5,0.0004887297,"((0.047112357 ^ x) + 0.023591626)"
7,0.00044310748,"(((0.047112357 ^ x) * 0.97226244) + 0.022411063)"
9,0.0003283655,"(((0.10168032 ^ x) + x) * (0.10168032 ^ x))"
11,0.0001497456,"(-1.9613006 / (-1.9613006 - ((0.6348813 + x) / (0.09170434 / x))))"
13,7.178617e-5,"(-1.9613006 / (-1.9613006 - (0.09170434 / (((0.09170434 / x) ^ 1.3063185) * 0.13883016))))"
15,1.3997695e-5,"(-1.9613006 / (-1.9613006 - ((x ^ 0.09170434) / (((0.09170434 / x) ^ 1.3063185) * 1.3063185))))"
23,1.3814933e-5,"(-1.9613006 / ((-1.9613006 - ((x * x) - (x + x))) - ((1.3063185 ^ 0.09170434) / (((0.09170434 / x) ^ 1.3063185) * 1.3063185))))"
25,1.2309899e-5,"(-1.9613006 / ((-1.9613006 - ((x * x) - (x + (x * 0.9275883)))) - ((1.3063185 ^ 0.09170434) / (((0.09170434 / x) ^ 1.3063185) * 1.3063185))))"
